reef_name,start_year,residual
Agincourt_Reef_No_1,1999,-0.5896950433485617
Agincourt_Reef_No_1,2014,0.14519667764700722
Arlington_Reef,2016,0.28156689535473345
Border_Island,2003,-0.10365945618350084
Border_Island,2010,-0.03176345340966538
Boult_Reef,2017,-0.5564416153953116
Boult_Reef,2024,-0.10839868203092673
Broomfield_Reef,1992,0.3309725661645422
Broomfield_Reef,2020,-0.17843141314563526
Carter_Reef,2005,-0.08227867199831451
Carter_Reef,2014,0.25695270541580406
Chicken_Reef,2000,-0.08473502767913238
Chicken_Reef,2016,-0.49831559244311907
Chinaman_Reef_22_102,1992,0.06963105810784881
Chinaman_Reef_22_102,2002,-0.2093467494208681
Chinaman_Reef_22_102,2020,0.12684818452854535
Davies_Reef,2000,-0.08649900204436778
Davies_Reef,2017,-0.053863709791407935
Dip_Reef,2000,-0.06385895179956476
Dip_Reef,2006,0.2974333929812387
Dip_Reef,2016,-0.4620324721396459
East_Cay,2009,0.1301713140670738
East_Cay,2020,0.5071621395838668
Erskine_Island,2015,0.1148094366598204
Fairfax_Island,2020,0.003167500606678822
Feather_Reef,2006,0.15187650325117918
Feather_Reef,2017,0.2293483095883484
Fitzroy_Island,2006,-0.7183132853406362
Fitzroy_Island,2017,-0.6546577414756858
Fore_and_Aft_Reef,2011,0.8559804694868026
Fore_and_Aft_Reef,2017,-0.6626238759181284
Fork_Reef,2016,-0.47886854921726063
Gannet_Cay,1992,-0.6839752762830251
Gannet_Cay,2002,0.8112594056140618
Gannet_Cay,2009,0.5315049691974414
Gannet_Cay,2020,0.6313330761714624
Green_Island,2006,-0.219003163999126
Green_Island,2017,-0.5726647683428253
Grub_Reef_18_077,2017,0.34845990338939414
Hastings_Reef,1999,-0.09351793574760056
Hastings_Reef,2010,0.19701706417677994
Hastings_Reef,2016,0.3570388866653377
Hayman_Island,1996,-0.3609674676843023
Hayman_Island,2003,-0.4047392156332978
Hayman_Island,2010,0.018828960113737303
Helix_Reef,2017,-0.7044718518362002
Horseshoe_Reef,2002,0.5425932887185702
Horseshoe_Reef,2020,0.035236837963071754
Hyde_Reef,2003,0.23562930118510916
Hyde_Reef,2009,0.6018943318769259
Hyde_Reef,2017,-0.7402650061762377
Jenkins_Reef,2020,-0.17225709600382477
John_Brewer_Reef,2000,0.7783098397953996
John_Brewer_Reef,2017,0.6321277208517447
Kelso_Reef,2006,0.8364239904723926
Kelso_Reef,2017,-0.6697611507084607
Knife_Reef,2016,-0.6243397776494508
Low_Isles,1999,0.4344534378061363
Low_Isles,2014,-0.40792768129082096
Macgillivray_Reef,1990,-0.1723648744190795
Macgillivray_Reef,2014,0.2896055507291543
Mackay_Reef,1999,0.10661946365986069
Mackay_Reef,2014,-0.11971288018896942
Masthead_Island,2015,0.6577741519541105
Michaelmas_Cay,1999,-0.09089520505129932
Michaelmas_Cay,2006,0.5759157739437671
Michaelmas_Cay,2016,0.3039895101904523
Moore_Reef,2017,0.0830859980615794
Myrmidon_Reef,2000,-0.2230864563177044
North_Direction_Island,2014,0.44664937375916147
North_Island,2014,-0.6327678388096347
North_Island,2020,-0.26941513725388694
One_Tree_Island,2020,0.08896328017213823
Opal_Reef,1999,0.1022058576910595
Opal_Reef,2006,-0.22995667658026536
Opal_Reef,2014,0.4905278119269807
Peart_Reef,2017,0.24509157251363756
Pompey_Reef_No_1,2015,0.09762167394492716
Rebe_Reef,2003,-0.2519739964629118
Reef_13_124,2005,-0.05791220726196565
Reef_19_131,2003,-0.12349194355248194
Reef_19_131,2009,-0.33583813387527217
Reef_19_131,2017,-0.7288297893338421
Reef_19_138,1996,0.2590184061341097
Reef_19_138,2003,0.01861628560633035
Reef_19_138,2009,0.1578655598129359
Reef_19_138,2017,-0.33375727222948726
Reef_20_104,2003,-0.45086605939687596
Reef_20_104,2009,0.18290789588164713
Reef_20_104,2017,-0.8068549352056904
Reef_21_060,2015,0.6050760115667366
Reef_21_064,2015,0.5949150114591861
Reef_21_187,2015,-0.25570368476115346
Reef_21_187,2024,0.18781488270778682
Reef_21_278,2017,0.0156094447206108
Reef_21_529,2009,0.25808548331571823
Reef_21_529,2024,0.18321327437339252
Reef_21_550,2020,-0.22105014788032337
Reef_21_591,2015,0.06857567747346466
Reef_22_084,2020,0.25705115849055604
Rib_Reef,2011,0.456394296309596
Rib_Reef,2017,0.8251075240991561
Slate_Reef,2003,-0.44138980852530835
Slate_Reef,2009,0.021175072909425663
Slate_Reef,2017,-0.9591026581375723
Small_Lagoon_Reef,2020,0.2054339083811395
Snake_Reef,2009,-0.21947848516162805
Snake_Reef,2020,0.06391801697830168
St_Crispin_Reef,1999,0.0253436508579009
St_Crispin_Reef,2014,0.22138338885326098
Tern_Island,2015,-0.13515241522502178
Thetford_Reef,2006,-0.5363390442418122
Thetford_Reef,2017,0.009085598083656665
Turner_Cay,2009,-0.5205494140698731
Turner_Cay,2020,0.25711439550668846
Wade_Reef,2020,0.39876358825643826
Wreck_Island,2020,-0.1612472674553841
Yonge_Reef,2014,0.3016632977684186
