variable,scope,seq_category_main,non_missing_rows,non_missing_reefs,mean,median
cots_lag_3yr,overall,ALL,118,66,0.4442655367231638,0.0
cots_lag_3yr,by_sequence,H_to_H,34,31,0.7400980392156862,0.0066666666666666
cots_lag_3yr,by_sequence,Isolated_Heatwave,13,11,1.561025641025641,0.0066666666666666
cots_lag_3yr,by_sequence,Isolated_Storm,42,34,0.057460317460317455,0.0
cots_lag_3yr,by_sequence,S_to_H,10,10,0.14633333333333332,0.0
cots_lag_3yr,by_sequence,S_to_S,19,18,0.1626315789473684,0.0
initial_cots,overall,ALL,118,66,0.23847457627118646,0.0
initial_cots,by_sequence,H_to_H,34,31,0.5529411764705883,0.0
initial_cots,by_sequence,Isolated_Heatwave,13,11,0.5030769230769231,0.0
initial_cots,by_sequence,Isolated_Storm,42,34,0.02,0.0
initial_cots,by_sequence,S_to_H,10,10,0.001,0.0
initial_cots,by_sequence,S_to_S,19,18,0.10263157894736842,0.0
baseline_algae,overall,ALL,111,65,2.212556405724897,1.5872322470209208
baseline_algae,by_sequence,H_to_H,34,31,1.9966411717182286,1.923368988966466
baseline_algae,by_sequence,Isolated_Heatwave,13,11,1.862488506226095,1.6639829819036878
baseline_algae,by_sequence,Isolated_Storm,38,30,2.7411565227627004,1.5838248471773078
baseline_algae,by_sequence,S_to_H,10,10,2.0259895655723046,1.051783763120453
baseline_algae,by_sequence,S_to_S,16,15,1.8169854434624337,0.9818067767280861
nadir_algae,overall,ALL,98,57,3.153555913852368,2.021056636117211
nadir_algae,by_sequence,H_to_H,23,21,3.931233115579329,3.300411184001625
nadir_algae,by_sequence,Isolated_Heatwave,12,11,2.5547700281080705,2.1416241071481474
nadir_algae,by_sequence,Isolated_Storm,38,31,3.457895680380268,1.6003444974079608
nadir_algae,by_sequence,S_to_H,9,9,2.4296201288668526,2.5840437763715447
nadir_algae,by_sequence,S_to_S,16,15,2.1691412842286777,1.2032607090344913
final_algae,overall,ALL,80,46,2.993713325842215,1.9133573757319433
final_algae,by_sequence,H_to_H,11,11,3.5940130660127823,3.593804821324402
final_algae,by_sequence,Isolated_Heatwave,5,5,4.4880276704586946,3.256139875960188
final_algae,by_sequence,Isolated_Storm,38,31,3.18265021087746,1.8086888988168606
final_algae,by_sequence,S_to_H,7,7,1.8134340739166321,1.7431638812640216
final_algae,by_sequence,S_to_S,19,18,2.309896708325436,0.8955668187432276
initial_herbivore,overall,ALL,70,45,43.24876211119153,39.62860475871622
initial_herbivore,by_sequence,H_to_H,18,17,48.463294246728424,47.37240118695368
initial_herbivore,by_sequence,Isolated_Heatwave,8,7,40.08672066331487,38.64479146676547
initial_herbivore,by_sequence,Isolated_Storm,33,26,38.46706040957011,37.090313657927815
initial_herbivore,by_sequence,S_to_H,4,4,63.87271262726682,57.586756272157245
initial_herbivore,by_sequence,S_to_S,7,6,44.21092028727087,40.093722635240326
algae_change_nadir,overall,ALL,93,56,0.9552747508858519,0.49354397878067724
algae_change_nadir,by_sequence,H_to_H,23,21,1.6776091009920744,0.991794420711959
algae_change_nadir,by_sequence,Isolated_Heatwave,12,11,0.5554631406583349,0.40343434136086764
algae_change_nadir,by_sequence,Isolated_Storm,36,29,0.7663766942066823,0.2695991520749913
algae_change_nadir,by_sequence,S_to_H,9,9,0.22995843580778036,1.0981057810485861
algae_change_nadir,by_sequence,S_to_S,13,12,1.0715998390735304,0.3447986606801991
algae_change_final,overall,ALL,74,44,0.768133595042556,0.37307775482656663
algae_change_final,by_sequence,H_to_H,11,11,1.5357608785822896,0.984563903927616
algae_change_final,by_sequence,Isolated_Heatwave,5,5,2.3390690702330317,1.5921568940565003
algae_change_final,by_sequence,Isolated_Storm,35,28,0.32174101737443966,0.10555339040697753
algae_change_final,by_sequence,S_to_H,7,7,0.7209447977389439,0.49639943270721937
algae_change_final,by_sequence,S_to_S,16,15,0.7466013640812998,0.3173457275154026
