reef_name,year,storm,storm_id,storm_month,dhw_start_month,dhw_peak_month,dhw_peak,dhw_at_storm,is_antagonistic_cooling,match_method
Agincourt_Reef_No_1,2024,JASPER,AU202324_02U,12,2,3,6.97,0.0,False,storm_id
Border_Island,2017,DEBBIE,AU201617_24U,3,3,3,6.71,6.71,False,storm_id
Border_Island,2020,HAROLD,AU201920_12U,4,2,3,7.66,7.66,False,storm_id
Carter_Reef,2022,TIFFANY,AU202122_10U,1,3,3,4.64,2.7,False,storm_id
Centipede_Reef,2020,HAROLD,AU201920_12U,4,2,3,5.46,5.46,False,storm_id
Centipede_Reef,2024,KIRRILY,AU202324_05U,1,2,2,4.86,2.34,False,storm_id
Chicken_Reef,2020,HAROLD,AU201920_12U,4,2,3,6.5200000000000005,6.52,False,storm_id
Chicken_Reef,2024,KIRRILY,AU202324_05U,1,2,2,6.04,2.85,False,storm_id
Corbett_Reef,2022,TIFFANY,AU202122_10U,1,3,3,4.68,2.15,False,storm_id
Davie_Reef,2022,TIFFANY,AU202122_10U,1,2,3,5.82,2.22,False,storm_id
Davies_Reef,2020,HAROLD,AU201920_12U,4,3,3,5.13,5.13,False,storm_id
Davies_Reef,2024,KIRRILY,AU202324_05U,1,2,2,4.23,1.73,False,storm_id
Dip_Reef,2020,HAROLD,AU201920_12U,4,2,3,7.1000000000000005,7.1,False,storm_id
Dip_Reef,2024,KIRRILY,AU202324_05U,1,2,3,7.65,3.63,False,storm_id
Fore_and_Aft_Reef,2020,HAROLD,AU201920_12U,4,2,3,4.6000000000000005,4.6,False,storm_id
Fork_Reef,2020,HAROLD,AU201920_12U,4,2,3,5.96,5.96,False,storm_id
Fork_Reef,2024,KIRRILY,AU202324_05U,1,2,2,5.92,3.06,False,storm_id
Grub_Reef_18_077,2020,HAROLD,AU201920_12U,4,2,3,5.7700000000000005,5.77,False,storm_id
Grub_Reef_18_077,2024,KIRRILY,AU202324_05U,1,2,2,4.98,2.44,False,storm_id
Havannah_Island,2020,HAROLD,AU201920_12U,4,2,3,8.18,8.18,False,storm_id
Havannah_Island,2024,KIRRILY,AU202324_05U,1,2,2,6.92,1.54,False,storm_id
Hayman_Island,2017,DEBBIE,AU201617_24U,3,3,3,6.3100000000000005,6.31,False,storm_id
Hayman_Island,2020,HAROLD,AU201920_12U,4,2,3,7.66,7.66,False,storm_id
Helix_Reef,2020,HAROLD,AU201920_12U,4,2,3,5.4,5.4,False,storm_id
Helix_Reef,2024,KIRRILY,AU202324_05U,1,2,2,6.11,2.86,False,storm_id
Hyde_Reef,2020,HAROLD,AU201920_12U,4,3,3,5.84,5.84,False,storm_id
John_Brewer_Reef,2020,HAROLD,AU201920_12U,4,3,3,4.21,4.21,False,storm_id
John_Brewer_Reef,2024,KIRRILY,AU202324_05U,1,2,2,5.79,2.56,False,storm_id
Kelso_Reef,2020,HAROLD,AU201920_12U,4,2,3,5.4,5.4,False,storm_id
Kelso_Reef,2024,KIRRILY,AU202324_05U,1,2,2,6.72,2.9,False,storm_id
Knife_Reef,2020,HAROLD,AU201920_12U,4,2,3,6.3500000000000005,6.35,False,storm_id
Knife_Reef,2024,KIRRILY,AU202324_05U,1,2,2,6.54,3.48,False,storm_id
Lynchs_Reef,2020,HAROLD,AU201920_12U,4,3,3,5.62,5.62,False,storm_id
Myrmidon_Reef,2020,HAROLD,AU201920_12U,4,2,3,8.3,8.3,False,storm_id
Myrmidon_Reef,2024,KIRRILY,AU202324_05U,1,1,3,8.73,4.05,True,storm_id
Pandora_Reef,2020,HAROLD,AU201920_12U,4,2,3,8.97,8.97,False,storm_id
Pandora_Reef,2024,KIRRILY,AU202324_05U,1,2,2,6.58,1.6,False,storm_id
Rebe_Reef,2017,DEBBIE,AU201617_24U,3,3,3,5.55,5.55,False,storm_id
Rebe_Reef,2020,HAROLD,AU201920_12U,4,2,3,7.1000000000000005,7.1,False,storm_id
Reef_13_124,2022,TIFFANY,AU202122_10U,1,1,3,5.55,3.36,False,storm_id
Reef_19_138,2020,HAROLD,AU201920_12U,4,3,3,4.11,4.11,False,storm_id
Reef_20_104,2020,HAROLD,AU201920_12U,4,3,3,4.91,4.91,False,storm_id
Rib_Reef,2020,HAROLD,AU201920_12U,4,2,3,5.11,5.11,False,storm_id
Rib_Reef,2024,KIRRILY,AU202324_05U,1,2,2,6.7,2.3,False,storm_id
Roxburgh_Reef,2020,HAROLD,AU201920_12U,4,2,3,6.5200000000000005,6.52,False,storm_id
Sand_bank_No_1,2022,TIFFANY,AU202122_10U,1,3,3,6.390000000000001,2.21,False,storm_id
Slate_Reef,2020,HAROLD,AU201920_12U,4,3,3,5.73,5.73,False,storm_id
St_Crispin_Reef,2024,JASPER,AU202324_02U,12,2,3,5.87,0.0,False,storm_id
Yonge_Reef,1990,IVOR,AU198990_10U,3,3,5,7.27,5.72,True,storm_id
Double_Cone_Island,2017,DEBBIE,AU201617_24U,3,2,3,8.1,8.1,False,storm_id
Double_Cone_Island,2020,HAROLD,AU201920_12U,4,2,3,8.72,8.72,False,storm_id
Geoffrey_Bay,2020,HAROLD,AU201920_12U,4,2,3,9.75,9.75,False,storm_id
Geoffrey_Bay,2024,KIRRILY,AU202324_05U,1,1,2,9.07,3.48,False,storm_id
Hook_Island,2017,DEBBIE,AU201617_24U,3,3,3,6.17,6.17,False,storm_id
Hook_Island,2020,HAROLD,AU201920_12U,4,2,3,7.17,7.17,False,storm_id
Seaforth_Island,2017,DEBBIE,AU201617_24U,3,3,3,5.98,5.98,False,storm_id
Seaforth_Island,2020,HAROLD,AU201920_12U,4,2,3,8.16,8.16,False,storm_id
Snapper_Island,2024,JASPER,AU202324_02U,12,2,2,6.93,0.0,False,storm_id
