reference_category,seq_category,adjusted_mean,ci_lo,ci_hi,n_events
Isolated_Heatwave,H_to_H,-0.00532354836128971,-0.47253047868056214,0.4814085042964815,34
Isolated_Heatwave,Isolated_Heatwave,0.4467325151734542,-0.03258978699878276,0.9150808819578848,13
Isolated_Heatwave,Isolated_Storm,0.32183053039254544,0.04113753964552378,0.6098835182216367,42
Isolated_Heatwave,S_to_H,0.327879552786604,0.12729402297856615,0.5201543286194297,10
Isolated_Heatwave,S_to_S,-0.15087156699239518,-0.6605483893372636,0.3740985228008607,19
Isolated_Storm,H_to_H,-0.005323548361290966,-0.4911430290588192,0.46777672640474116,34
Isolated_Storm,Isolated_Heatwave,0.4467325151734531,-0.04492947450110284,0.9357175702617312,13
Isolated_Storm,Isolated_Storm,0.3218305303925458,0.029294406780289207,0.6105648116170428,42
Isolated_Storm,S_to_H,0.32787955278660114,0.14256680337833036,0.5238633936889202,10
Isolated_Storm,S_to_S,-0.15087156699239068,-0.653888600783421,0.35512039456708866,19
H_to_H,H_to_H,-0.005323548361291327,-0.47221050990444097,0.45843054489615803,34
H_to_H,Isolated_Heatwave,0.44673251517345547,-0.03832502376721135,0.9427790679433814,13
H_to_H,Isolated_Storm,0.3218305303925455,0.04854550917231776,0.6107706190665374,42
H_to_H,S_to_H,0.3278795527866008,0.13167260021928817,0.5295903769926048,10
H_to_H,S_to_S,-0.15087156699239224,-0.6894845360647663,0.3581126437021603,19
