term,Coefficient,StdErr,P_value,CI_lower,CI_upper,P_value_FDR,Significant_FDR,model_name,n_events,n_reefs
Intercept,1.7656184628814087,0.4727868844952671,0.00018809506256377287,0.8389731969077866,2.6922637288550306,,,juv_recovery_rate,39,34
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",-0.6925974084654185,0.8743834619766413,0.42830352484447864,-2.406357502617083,1.0211626856862461,0.4848074131967489,False,juv_recovery_rate,39,34
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",0.07530051889344441,0.8768964668779262,0.9315684732838414,-1.6433849743577114,1.7939860121446,0.9315684732838414,False,juv_recovery_rate,39,34
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",-0.9234706836882975,0.6230414739663915,0.1382876796226321,-2.1446095335371744,0.29766816616057956,0.4002558975897278,False,juv_recovery_rate,39,34
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",-0.9827215209150197,1.2477668325726845,0.4309399228415546,-3.428299573861101,1.4628565320310614,0.4848074131967489,False,juv_recovery_rate,39,34
storm_exposure_seq_c,0.015679070213711968,0.019032165887057636,0.41004210119508566,-0.02162328947271281,0.052981429900136746,0.4848074131967489,False,juv_recovery_rate,39,34
heat_exposure_seq_c,0.12502808581520364,0.07705476356436111,0.10467764316474867,-0.025996475608193348,0.2760526472386006,0.4002558975897278,False,juv_recovery_rate,39,34
baseline_hc_c,-0.015151888168887805,0.01241688212901939,0.22236438754984877,-0.03948852994204484,0.009184753604269225,0.4002558975897278,False,juv_recovery_rate,39,34
start_year_c,-0.2828168341660859,0.056855565554592105,6.548267572047579e-07,-0.39425169497374246,-0.1713819733584293,5.893440814842821e-06,True,juv_recovery_rate,39,34
region_lat_c,0.1031298852345042,0.08062893573721959,0.20087313875511958,-0.05489992492224066,0.26115969539124906,0.4002558975897278,False,juv_recovery_rate,39,34
